candidate_id,entailment_correct,neutral_correct,contradiction_correct,ent_minus_con_correct,con_minus_ent_correct,max_prob_correct,entropy_correct
SBV2-ALL92-G002-SUPPORTED,0.7690737,0.19872399,0.03220218,0.73687154,-0.73687154,0.7690737,0.6336781
SBV2-ALL92-G002-MILD,0.67204815,0.28862783,0.039323978,0.63272417,-0.63272417,0.67204815,0.75299215
SBV2-ALL92-G002-STRONG,0.34800303,0.48544544,0.16655147,0.18145156,-0.18145156,0.48544544,1.0166937
SBV2-ALL92-G002-CONTRA,0.03759958,0.94650203,0.015898356,0.021701222,-0.021701222,0.94650203,0.24123968
SBV2-ALL92-G003-SUPPORTED,0.64659214,0.32094657,0.03246125,0.6141309,-0.6141309,0.64659214,0.757957
SBV2-ALL92-G003-MILD,0.6821311,0.30421847,0.013650385,0.66848075,-0.66848075,0.6821311,0.6815753
SBV2-ALL92-G003-STRONG,0.25017437,0.4932924,0.25653318,-0.0063588023,0.0063588023,0.4932924,1.0442402
SBV2-ALL92-G003-CONTRA,0.050500613,0.92002976,0.029469596,0.021031016,-0.021031016,0.92002976,0.33132952
SBV2-ALL92-G004-SUPPORTED,0.082935445,0.79244876,0.12461585,-0.041680403,0.041680403,0.79244876,0.650344
SBV2-ALL92-G004-MILD,0.05600059,0.8472696,0.096729785,-0.040729195,0.040729195,0.8472696,0.52778375
SBV2-ALL92-G004-STRONG,0.11446239,0.32815075,0.5573869,-0.4429245,0.4429245,0.5573869,0.939541
SBV2-ALL92-G004-CONTRA,0.024340222,0.17986208,0.7957977,-0.7714575,0.7714575,0.7957977,0.5807726
SBV2-ALL92-G007-SUPPORTED,0.023010993,0.9404669,0.03652216,-0.013511168,0.013511168,0.9404669,0.26539963
SBV2-ALL92-G007-MILD,0.025698196,0.94525355,0.029048372,-0.003350176,0.003350176,0.94525355,0.25010562
SBV2-ALL92-G007-STRONG,0.046277683,0.9139797,0.039742596,0.006535087,-0.006535087,0.9139797,0.35260844
SBV2-ALL92-G007-CONTRA,0.019876216,0.23987132,0.74025244,-0.7203762,0.7203762,0.74025244,0.64297384
