candidate_id,entailment_correct,neutral_correct,contradiction_correct,ent_minus_con_correct,con_minus_ent_correct,max_prob_correct,entropy_correct
SBV2-ALL92-G002-SUPPORTED,0.5154293179512024,0.4421161115169525,0.0424546040594577,0.4729747176170349,-0.4729747176170349,0.5154293179512024,0.8365786671638489
SBV2-ALL92-G002-MILD,0.1400957703590393,0.8417423367500305,0.018161891028285,0.1219338774681091,-0.1219338774681091,0.8417423367500305,0.4931654632091522
SBV2-ALL92-G002-STRONG,0.1683093905448913,0.7333047389984131,0.0983858555555343,0.069923534989357,-0.069923534989357,0.7333047389984131,0.7555286884307861
SBV2-ALL92-G002-CONTRA,0.034062385559082,0.8217819333076477,0.1441556513309478,-0.1100932657718658,0.1100932657718658,0.8217819333076477,0.5556249618530273
SBV2-ALL92-G003-SUPPORTED,0.0066806194372475,0.9928430318832396,0.0004763230681419,0.0062042963691055,-0.0062042963691055,0.9928430318832396,0.0442350693047046
SBV2-ALL92-G003-MILD,0.0094627775251865,0.9899718761444092,0.000565365771763,0.0088974116370081,-0.0088974116370081,0.9899718761444092,0.0583057291805744
SBV2-ALL92-G003-STRONG,0.0298440400511026,0.9681614637374878,0.0019944550003856,0.0278495848178863,-0.0278495848178863,0.9681614637374878,0.1485319286584854
SBV2-ALL92-G003-CONTRA,0.0005559719866141,0.020893108099699,0.978550910949707,-0.9779949188232422,0.9779949188232422,0.978550910949707,0.1062058508396148
SBV2-ALL92-G004-SUPPORTED,0.0425158850848674,0.8450897932052612,0.1123943105340004,-0.0698784291744232,0.0698784291744232,0.8450897932052612,0.522163987159729
SBV2-ALL92-G004-MILD,0.0314119756221771,0.8518095016479492,0.1167785078287124,-0.0853665322065353,0.0853665322065353,0.8518095016479492,0.4961060285568237
SBV2-ALL92-G004-STRONG,0.0414048805832862,0.7758356928825378,0.1827594190835952,-0.1413545310497284,0.1413545310497284,0.7758356928825378,0.6393814086914062
SBV2-ALL92-G004-CONTRA,0.0123461475595831,0.0386736951768398,0.948980152606964,-0.9366340041160583,0.9366340041160583,0.948980152606964,0.2297395467758178
SBV2-ALL92-G007-SUPPORTED,0.1556227952241897,0.5024352073669434,0.3419419825077057,-0.1863191872835159,0.1863191872835159,0.5024352073669434,1.0022714138031006
SBV2-ALL92-G007-MILD,0.0969938114285469,0.7662531733512878,0.1367529928684234,-0.0397591814398765,0.0397591814398765,0.7662531733512878,0.7023872137069702
SBV2-ALL92-G007-STRONG,0.0687906146049499,0.91673344373703,0.014475897885859,0.0543147176504135,-0.0543147176504135,0.91673344373703,0.3251398205757141
SBV2-ALL92-G007-CONTRA,0.0005171869415789,0.0016857001464813,0.9977971315383912,-0.997279942035675,0.997279942035675,0.9977971315383912,0.0168782137334346
