candidate_id,true_label,pred_label,oracle_pred_label,category,failure_type,priority_score,review_rank,p_strong_mean,p_contra_mean
SBV2-ALL92-G252-C01,supported,strong_action_overclaim,strong_action_overclaim,strong_action_false_positive,screening_failure,1.1797978483015075,1,0.7320560341484594,0.05225818584695184
SBV2-ALL92-G252-C02,mild_scope_overclaim,strong_action_overclaim,strong_action_overclaim,ambiguous_mild_strong,screening_failure,1.150920666464946,2,0.6873181308428382,0.03639746437789221
SBV2-ALL92-G065-C03,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,strong_action_true_positive,both_correct,1.143405597706133,3,0.9001733501516946,0.25676775244556166
SBV2-ALL92-G042-C02,mild_scope_overclaim,strong_action_overclaim,strong_action_overclaim,ambiguous_mild_strong,screening_failure,1.129457997818736,4,0.6722809054319459,0.04282290761320987
SBV2-ALL92-G124-C03,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,strong_action_true_positive,both_correct,1.1277935606331777,5,0.7742095292080993,0.14641596857492162
SBV2-ALL92-G065-C02,mild_scope_overclaim,strong_action_overclaim,strong_action_overclaim,ambiguous_mild_strong,screening_failure,1.1233050116420622,6,0.6858420787943886,0.06253706715232628
SBV2-ALL92-G163-C03,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,strong_action_true_positive,both_correct,1.1216063546620845,7,0.7002321517936494,0.07862579713156492
SBV2-ALL92-G185-C03,strong_action_overclaim,strong_action_overclaim,contradiction_candidate,strong_action_true_positive,canon_helped,1.1152853881565663,8,0.8896942725875263,0.27440888443095995
SBV2-ALL92-G146-C03,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,strong_action_true_positive,both_correct,1.114918097372421,9,0.8750939006950106,0.26017580332258955
SBV2-ALL92-G232-C02,mild_scope_overclaim,strong_action_overclaim,strong_action_overclaim,ambiguous_mild_strong,screening_failure,1.0919563184463652,10,0.8506619844470373,0.2587056660006721
SBV2-ALL92-G146-C02,mild_scope_overclaim,strong_action_overclaim,strong_action_overclaim,ambiguous_mild_strong,screening_failure,1.0884799347192184,11,0.8438112998913749,0.25533136517215654
SBV2-ALL92-G037-C03,strong_action_overclaim,strong_action_overclaim,supported,strong_action_true_positive,canon_helped,1.086560914073059,12,0.8498385700841802,0.26327765601112113
SBV2-ALL92-G232-C01,supported,strong_action_overclaim,supported,strong_action_false_positive,selection_failure,1.0820676345970277,13,0.8424892248418628,0.2604215902448351
SBV2-ALL92-G030-C01,supported,strong_action_overclaim,supported,strong_action_false_positive,selection_failure,1.0805743839821011,14,0.8530757792496165,0.27250139526751543
SBV2-ALL92-G256-C03,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,strong_action_true_positive,both_correct,1.0793928797943544,15,0.8291208017734387,0.24972792197908433
SBV2-ALL92-G030-C02,mild_scope_overclaim,strong_action_overclaim,supported,ambiguous_mild_strong,screening_failure,1.077740537404996,16,0.8502323553405473,0.2724918179355512
SBV2-ALL92-G002-CONTRA,contradiction_candidate,strong_action_overclaim,mild_scope_overclaim,contradiction_confusion,screening_failure,1.0743871222043495,17,0.8346266459587786,0.26023952375442916
SBV2-ALL92-G065-C04,contradiction_candidate,strong_action_overclaim,contradiction_candidate,contradiction_confusion,selection_failure,1.0726821962112583,18,0.842098343579372,0.26941614736811376
SBV2-ALL92-G140-C04,contradiction_candidate,strong_action_overclaim,contradiction_candidate,contradiction_confusion,selection_failure,1.0689472363507344,19,0.8487658017056087,0.2798185653548743
SBV2-ALL92-G002-MILD,mild_scope_overclaim,strong_action_overclaim,strong_action_overclaim,ambiguous_mild_strong,screening_failure,1.0680552851136216,20,0.8365843840251936,0.2685290989115721
SBV2-ALL92-G140-C02,mild_scope_overclaim,strong_action_overclaim,supported,ambiguous_mild_strong,screening_failure,1.0656169670868048,21,0.8394267041583641,0.27380973707155937
SBV2-ALL92-G065-C01,supported,strong_action_overclaim,supported,strong_action_false_positive,selection_failure,1.0651612748523962,22,0.8694755718618017,0.3043142970094055
SBV2-ALL92-G140-C01,supported,strong_action_overclaim,supported,strong_action_false_positive,selection_failure,1.064016705864469,23,0.8391794833299818,0.2751627774655129
SBV2-ALL92-G254-C03,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,strong_action_true_positive,both_correct,1.0630081470136186,24,0.8132271703949124,0.2502190233812938
SBV2-ALL92-G140-C03,strong_action_overclaim,strong_action_overclaim,strong_action_overclaim,strong_action_true_positive,both_correct,1.0629889198430933,25,0.8397475303120645,0.2767586104689712
SBV2-ALL92-G167-C04,contradiction_candidate,strong_action_overclaim,strong_action_overclaim,contradiction_confusion,screening_failure,1.0595540228691993,26,0.8244770282435293,0.26492300537433
SBV2-ALL92-G167-C01,supported,strong_action_overclaim,strong_action_overclaim,strong_action_false_positive,screening_failure,1.0540743884745003,27,0.7943668818612941,0.24029249338679382
SBV2-ALL92-G099-C01,supported,strong_action_overclaim,strong_action_overclaim,strong_action_false_positive,screening_failure,1.0527486053081265,28,0.5693435260477367,0.016594920739610157
SBV2-ALL92-G144-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,strong_action_true_positive,canon_helped,1.0497951776593903,29,0.8192830409632568,0.26948786330386637
SBV2-ALL92-G252-C03,strong_action_overclaim,strong_action_overclaim,contradiction_candidate,strong_action_true_positive,canon_helped,1.0492321406351433,30,0.6920850948298843,0.14285295419474106
SBV2-ALL92-G187-C02,mild_scope_overclaim,strong_action_overclaim,contradiction_candidate,ambiguous_mild_strong,screening_failure,1.046824024351852,31,0.8081209053600736,0.26129688100822157
SBV2-ALL92-G187-C03,strong_action_overclaim,strong_action_overclaim,contradiction_candidate,strong_action_true_positive,canon_helped,1.0423214394518536,32,0.8204177222056057,0.2780962827537521
SBV2-ALL92-G187-C04,contradiction_candidate,strong_action_overclaim,contradiction_candidate,contradiction_confusion,selection_failure,1.041711807967313,33,0.8227873113608309,0.28107550339351783
SBV2-ALL92-G052-C01,supported,strong_action_overclaim,supported,strong_action_false_positive,selection_failure,1.0402888940235047,34,0.7919525581848265,0.25166366416132174
SBV2-ALL92-G052-C02,mild_scope_overclaim,strong_action_overclaim,supported,ambiguous_mild_strong,screening_failure,1.0401145945275718,35,0.7925403817924002,0.25242578726482834
SBV2-ALL92-G226-C03,strong_action_overclaim,strong_action_overclaim,contradiction_candidate,strong_action_true_positive,canon_helped,1.0391409083953258,36,0.802324781115154,0.2631838727198281
SBV2-ALL92-G253-C03,strong_action_overclaim,strong_action_overclaim,supported,strong_action_true_positive,canon_helped,1.0388918232465083,37,0.8383159439714322,0.29942412072492375
SBV2-ALL92-G187-C01,supported,strong_action_overclaim,mild_scope_overclaim,strong_action_false_positive,screening_failure,1.038718445053523,38,0.8237122567920883,0.2849938117385653
SBV2-ALL92-G253-C02,mild_scope_overclaim,strong_action_overclaim,supported,ambiguous_mild_strong,screening_failure,1.0373802828092862,39,0.8379348996026595,0.30055461679337336
