rank,candidate_id,target_candidate_group_id,bucket,final_score,p_strong,p_contra,evidence_score,selected_n_words,selected_page_number
1,SBV2-ALL92-G185-C03,SBV2-ALL92-G185,evidence_check_needed,1.019318,0.8896942725875263,0.27440888443095995,0.177074,10,1
2,SBV2-ALL92-G252-C01,SBV2-ALL92-G252,evidence_check_needed,1.007053,0.7320560341484594,0.05225818584695184,0.225406,9,12
3,SBV2-ALL92-G002-MILD,SBV2-ALL92-G002,evidence_check_needed,0.992038,0.8365843840251936,0.2685290989115721,0.266283,32,2
4,SBV2-ALL92-G146-C03,SBV2-ALL92-G146,evidence_check_needed,0.986418,0.8750939006950106,0.26017580332258955,0.06972,20,1
5,SBV2-ALL92-G124-C03,SBV2-ALL92-G124,evidence_check_needed,0.978437,0.7742095292080993,0.14641596857492162,0.168308,26,10
6,SBV2-ALL92-G065-C03,SBV2-ALL92-G065,evidence_check_needed,0.977501,0.9001733501516946,0.25676775244556166,-0.074449,8,19
7,SBV2-ALL92-G252-C02,SBV2-ALL92-G252,evidence_check_needed,0.971831,0.6873181308428382,0.03639746437789221,0.225406,9,12
8,SBV2-ALL92-G037-C03,SBV2-ALL92-G037,evidence_check_needed,0.970981,0.8498385700841802,0.26327765601112113,0.116437,18,6
9,SBV2-ALL92-G030-C01,SBV2-ALL92-G030,evidence_check_needed,0.969918,0.8530757792496165,0.27250139526751543,0.121371,12,2
10,SBV2-ALL92-G232-C02,SBV2-ALL92-G232,evidence_check_needed,0.966458,0.8506619844470373,0.2587056660006721,0.084078,36,9
11,SBV2-ALL92-G232-C01,SBV2-ALL92-G232,evidence_check_needed,0.965614,0.8424892248418628,0.2604215902448351,0.117509,36,9
12,SBV2-ALL92-G030-C02,SBV2-ALL92-G030,evidence_check_needed,0.964234,0.8502323553405473,0.2724918179355512,0.109989,12,2
13,SBV2-ALL92-G146-C02,SBV2-ALL92-G146,evidence_check_needed,0.960707,0.8438112998913749,0.25533136517215654,0.080377,20,1
14,SBV2-ALL92-G163-C03,SBV2-ALL92-G163,evidence_check_needed,0.955098,0.7002321517936494,0.07862579713156492,0.208166,23,1
15,SBV2-ALL92-G253-C03,SBV2-ALL92-G253,evidence_check_needed,0.95004,0.8383159439714322,0.29942412072492375,0.165515,10,4
16,SBV2-ALL92-G253-C02,SBV2-ALL92-G253,evidence_check_needed,0.948981,0.8379348996026595,0.30055461679337336,0.165515,10,4
17,SBV2-ALL92-G144-C03,SBV2-ALL92-G144,evidence_check_needed,0.946911,0.8192830409632568,0.26948786330386637,0.157282,18,1
18,SBV2-ALL92-G167-C04,SBV2-ALL92-G167,evidence_check_needed,0.942521,0.8244770282435293,0.26492300537433,0.107991,26,25
19,SBV2-ALL92-G002-CONTRA,SBV2-ALL92-G002,evidence_check_needed,0.94108,0.8346266459587786,0.26023952375442916,0.05039,32,2
20,SBV2-ALL92-G140-C04,SBV2-ALL92-G140,evidence_check_needed,0.94093,0.8487658017056087,0.2798185653548743,0.040221,37,2
21,SBV2-ALL92-G031-C02,SBV2-ALL92-G031,evidence_check_needed,0.94059,0.8211554642259854,0.3029932770020954,0.204921,18,7
22,SBV2-ALL92-G226-C03,SBV2-ALL92-G226,evidence_check_needed,0.938604,0.802324781115154,0.2631838727198281,0.176758,10,5
23,SBV2-ALL92-G065-C01,SBV2-ALL92-G065,evidence_check_needed,0.935292,0.8694755718618017,0.3043142970094055,-0.006378,13,16
24,SBV2-ALL92-G140-C03,SBV2-ALL92-G140,evidence_check_needed,0.933104,0.8397475303120645,0.2767586104689712,0.037647,37,2
25,SBV2-ALL92-G124-C02,SBV2-ALL92-G124,evidence_check_needed,0.930758,0.7731514187148399,0.24957555103184534,0.229409,26,10
26,SBV2-ALL92-G131-C01,SBV2-ALL92-G131,evidence_check_needed,0.929405,0.7864513357784206,0.29977943643245825,0.291286,17,3
27,SBV2-ALL92-G256-C03,SBV2-ALL92-G256,evidence_check_needed,0.926206,0.8291208017734387,0.24972792197908433,-0.01231,29,6
28,SBV2-ALL92-G226-C02,SBV2-ALL92-G226,evidence_check_needed,0.924924,0.7924370855793632,0.2642234942725877,0.164084,10,5
29,SBV2-ALL92-G254-C03,SBV2-ALL92-G254,evidence_check_needed,0.920984,0.8132271703949124,0.2502190233812938,0.031554,16,7
30,SBV2-ALL92-G116-C03,SBV2-ALL92-G116,evidence_check_needed,0.919194,0.7668028947660619,0.2647816393213495,0.24504,15,6
31,SBV2-ALL92-G185-C04,SBV2-ALL92-G185,evidence_check_needed,0.91764,0.7852484753389609,0.24945654536697295,0.128263,10,1
32,SBV2-ALL92-G116-C02,SBV2-ALL92-G116,evidence_check_needed,0.910141,0.786742362761738,0.28980392892009,0.189123,15,6
33,SBV2-ALL92-G187-C01,SBV2-ALL92-G187,evidence_check_needed,0.909761,0.8237122567920883,0.2849938117385653,0.028182,8,2
34,SBV2-ALL92-G193-C03,SBV2-ALL92-G193,evidence_check_needed,0.906953,0.7910879499502751,0.2771790237827798,0.128689,29,2
35,SBV2-ALL92-G187-C02,SBV2-ALL92-G187,evidence_check_needed,0.904832,0.8081209053600736,0.26129688100822157,0.013959,8,2
36,SBV2-ALL92-G197-C02,SBV2-ALL92-G197,evidence_check_needed,0.901116,0.7410035596196013,0.22600814596062777,0.182868,11,1
37,SBV2-ALL92-G042-C02,SBV2-ALL92-G042,evidence_check_needed,0.900718,0.6722809054319459,0.04282290761320987,0.016522,39,2
38,SBV2-ALL92-G196-C02,SBV2-ALL92-G196,evidence_check_needed,0.895741,0.8103893151060548,0.2960911268098771,0.052025,13,7
39,SBV2-ALL92-G052-C02,SBV2-ALL92-G052,evidence_check_needed,0.895065,0.7925403817924002,0.25242578726482834,0.01592,15,14
40,SBV2-ALL92-G052-C01,SBV2-ALL92-G052,evidence_check_needed,0.894934,0.7919525581848265,0.25166366416132174,0.01592,15,14
41,SBV2-ALL92-G111-C03,SBV2-ALL92-G111,evidence_check_needed,0.889975,0.7827614578484883,0.2633157080119629,0.060811,28,1
42,SBV2-ALL92-G107-C03,SBV2-ALL92-G107,evidence_check_needed,0.88893,0.7153726220189167,0.24027748866221876,0.270894,23,1
43,SBV2-ALL92-G051-C01,SBV2-ALL92-G051,evidence_check_needed,0.88769,0.7641679348699105,0.26503499117890367,0.130171,9,21
44,SBV2-ALL92-G051-C03,SBV2-ALL92-G051,evidence_check_needed,0.886919,0.7727086772938146,0.2645754727190761,0.091821,36,2
45,SBV2-ALL92-G077-C02,SBV2-ALL92-G077,evidence_check_needed,0.885567,0.6496378797796394,0.12693419879416576,0.248357,25,22
46,SBV2-ALL92-G008-MILD,SBV2-ALL92-G008,evidence_check_needed,0.882968,0.8081595604095039,0.27299063598801077,-0.045589,16,8
47,SBV2-ALL92-G197-C01,SBV2-ALL92-G197,evidence_check_needed,0.882757,0.7186111511395028,0.22327864943917752,0.192454,11,1
48,SBV2-ALL92-G099-C02,SBV2-ALL92-G099,evidence_check_needed,0.881677,0.6563054207259201,0.15495898303515285,0.273389,34,1
49,SBV2-ALL92-G167-C01,SBV2-ALL92-G167,evidence_check_needed,0.881029,0.7943668818612941,0.24029249338679382,-0.07665,23,4
50,SBV2-ALL92-G099-C01,SBV2-ALL92-G099,evidence_check_needed,0.879638,0.5693435260477367,0.016594920739610157,0.281004,34,1
