candidate_id,target_candidate_group_id,rank,unit_id,paper_id,pdf_filename,page_number,section_hint,retrieved_text,bm25_score,query_n_tokens,retrieved_n_words,oracle_overlap_score,oracle_hash_exact,oracle_page_match,oracle_hit
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,1,AD-001::p1::b4::s36,AD-001,AD-001__2511.10403.pdf,1,unknown,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner's robustness and overall performance balance across multiple dimensions.",63.087129,17,30,0.930233,False,True,True
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,2,AD-001::p2::b6::s43,AD-001,AD-001__2511.10403.pdf,2,unknown,"selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan-R benchmarks, demonstrating that nuPlan-R provides a more reliable assessment of planners' interaction capabilities in complex traffic en- vironments.",32.948289,17,90,0.333333,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,3,AD-001::p4::b19::s134,AD-001,AD-001__2511.10403.pdf,4,unknown,"To further evaluate whether a planner performs consistently across all aspects rather than excelling in only a few, we introduce the All-Core Pass Rate.",30.545407,17,24,0.27027,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,4,AD-015::p14::b52::s6304,AD-015,AD-015__2509.23922.pdf,14,unknown,VII EVALUATION METRICS We adopt two metrics to evaluate the performance of the E2EAD system: • Success Rate (SR).,29.497794,17,19,0.352941,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,5,AD-015::p14::b53::s6306,AD-015,AD-015__2509.23922.pdf,14,unknown,VII EVALUATION METRICS We adopt two metrics to evaluate the performance of the E2EAD system: • Success Rate (SR).,29.497794,17,19,0.352941,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,6,CYB-001::p12::b46::s10837,CYB-001,CYB-001__2606.14295.pdf,12,unknown,Pass@1 is the single-attempt success rate.,28.824321,17,6,0.222222,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,7,CYB-001::p12::b47::s10842,CYB-001,CYB-001__2606.14295.pdf,12,unknown,Pass@1 is the single-attempt success rate.,28.824321,17,6,0.222222,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,8,CYB-001::p11::b40::s10789,CYB-001,CYB-001__2606.14295.pdf,11,result,Pass@3 (Avg.) reports the average success rate over three independent attempts.,28.12379,17,11,0.242424,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,9,CYB-001::p11::b40::s10788,CYB-001,CYB-001__2606.14295.pdf,11,result,Pass@1 reports the single-attempt success rate.,27.765786,17,6,0.214286,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,10,AD-001::p3::b11::s75,AD-001,AD-001__2511.10403.pdf,3,unknown,Incorrect Direction Low Progress Score Collision TTC ... 0.5 All-Core Pass Rate ...,27.241186,17,13,0.176471,False,False,False
