candidate_id,true_label,pred_label,in_top_100,is_strong_action,strong_action_flag,category,p_strong,p_contra,entropy,oracle_hit,selected_n_words
SBV2-ALL92-G002-CONTRA,contradiction_candidate,strong_action_overclaim,True,False,1,false_positive_contradiction,0.8346266459587786,0.2602395237544291,0.18129870295524597,0,17
SBV2-ALL92-G002-MILD,mild_scope_overclaim,strong_action_overclaim,True,False,1,ambiguous_mild_strong,0.8365843840251936,0.2685290989115721,0.19228094816207886,0,17
SBV2-ALL92-G002-STRONG,strong_action_overclaim,strong_action_overclaim,False,True,1,false_negative_low_pstrong,0.5909928660010632,0.3391331482420781,0.6597850322723389,0,60
SBV2-ALL92-G002-SUPPORTED,supported,supported,False,False,0,true_negative_not_in_queue,0.2295589746246177,0.0524572883344019,0.3420493006706238,0,69
SBV2-ALL92-G003-CONTRA,contradiction_candidate,contradiction_candidate,False,False,0,true_negative_not_in_queue,0.2818358467978977,0.9288887448074616,0.03264902904629707,0,29
SBV2-ALL92-G003-MILD,mild_scope_overclaim,mild_scope_overclaim,False,False,0,true_negative_not_in_queue,0.4193236465624852,0.2542476850805769,0.14368446171283722,0,34
SBV2-ALL92-G003-STRONG,strong_action_overclaim,strong_action_overclaim,False,True,1,false_negative_low_pstrong,0.5152049729776469,0.2784160445302716,0.3863176703453064,1,39
SBV2-ALL92-G003-SUPPORTED,supported,strong_action_overclaim,False,False,1,true_negative_not_in_queue,0.5405713466772789,0.2168989179216121,0.5440426468849182,0,34
SBV2-ALL92-G004-CONTRA,contradiction_candidate,contradiction_candidate,False,False,0,true_negative_not_in_queue,0.3622682583095342,0.9315992867001444,0.1102374717593193,0,40
SBV2-ALL92-G004-MILD,mild_scope_overclaim,supported,False,False,0,true_negative_not_in_queue,0.4058238887698769,0.1917375712046589,0.5720406770706177,0,40
SBV2-ALL92-G004-STRONG,strong_action_overclaim,supported,False,True,0,r4_screening_failure,0.5022052199484109,0.2662797812504495,0.2086019515991211,0,40
SBV2-ALL92-G004-SUPPORTED,supported,supported,False,False,0,true_negative_not_in_queue,0.3268515913573557,0.036679675767384,0.4302102029323578,0,40
SBV2-ALL92-G007-CONTRA,contradiction_candidate,contradiction_candidate,False,False,0,true_negative_not_in_queue,0.4198081303832151,0.929622644851141,0.05150935426354408,1,16
SBV2-ALL92-G007-MILD,mild_scope_overclaim,strong_action_overclaim,False,False,1,ambiguous_mild_strong,0.5260019837114202,0.2536356831960691,0.009599022567272186,1,16
SBV2-ALL92-G007-STRONG,strong_action_overclaim,strong_action_overclaim,False,True,1,false_negative_low_pstrong,0.5653187088639782,0.2536405377299479,0.00905146636068821,1,16
SBV2-ALL92-G007-SUPPORTED,supported,strong_action_overclaim,False,False,1,true_negative_not_in_queue,0.503820734914314,0.2536701269735041,0.009352974593639374,1,16
SBV2-ALL92-G008-CONTRA,contradiction_candidate,contradiction_candidate,False,False,0,true_negative_not_in_queue,0.800679171222658,0.5601232807229453,0.7830163836479187,0,33
SBV2-ALL92-G008-MILD,mild_scope_overclaim,strong_action_overclaim,True,False,1,ambiguous_mild_strong,0.8081595604095039,0.2729906359880107,0.10566620528697968,0,16
SBV2-ALL92-G008-STRONG,strong_action_overclaim,strong_action_overclaim,True,True,1,true_positive_in_queue,0.8142870235532927,0.279222331382863,0.08307052403688431,0,16
SBV2-ALL92-G008-SUPPORTED,supported,contradiction_candidate,False,False,0,true_negative_not_in_queue,0.8221606471160614,0.5144214798033855,0.8306712508201599,0,27
SBV2-ALL92-G011-CONTRA,contradiction_candidate,contradiction_candidate,False,False,0,true_negative_not_in_queue,0.7714109320392067,0.8797459872752124,0.4882499873638153,0,17
SBV2-ALL92-G011-MILD,mild_scope_overclaim,contradiction_candidate,False,False,0,true_negative_not_in_queue,0.7534824979834607,0.8919049181400929,0.36459243297576904,0,17
SBV2-ALL92-G011-STRONG,strong_action_overclaim,mild_scope_overclaim,False,True,0,r4_screening_failure,0.8528281171400884,0.4470856509688855,0.40283411741256714,0,15
SBV2-ALL92-G011-SUPPORTED,supported,contradiction_candidate,False,False,0,true_negative_not_in_queue,0.7460631285942566,0.8983349341181035,0.3032212257385254,0,17
SBV2-ALL92-G013-C01,supported,supported,False,False,0,true_negative_not_in_queue,0.541571687324694,0.2593516941385155,0.01328694261610508,0,12
SBV2-ALL92-G013-C02,mild_scope_overclaim,supported,False,False,0,true_negative_not_in_queue,0.5646324527351202,0.2595833455703749,0.01368756778538227,0,12
