"candidate_id","target_candidate_group_id","true_label","pred_label","error_category","error_type_tags","p_strong","p_contra","contradiction_nli","entropy","selector_score","selected_n_words","selected_rank","bm25_score","oracle_hit","any_oracle_hit","strong_action_flag","strong_action_score","priority_score","selected_evidence_sha256","claim_text_sha256","evidence_text_sha256","domain","group_quality_tier"
"SBV2-ALL92-G002-CONTRA","SBV2-ALL92-G002","contradiction_candidate","strong_action_overclaim","FP","weak_selector_overlap;action_lexicon_shortcut","0.8346266459587786","0.2602395237544291","0.0154719436541199","0.1812987029552459","0.25","17","4","27.3892","0","1","1","0.8346266459587786","1.0743871222043495","d06766a392eb56948d329683ba42661291064dd2eae6f33cfb1b631a13f48063","e5e75177d195a0351fe555924d04d51af47afecc712306bfa95981972732b89a","6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62","autonomous_driving","tier3_no_B_no_A"
"SBV2-ALL92-G002-MILD","SBV2-ALL92-G002","mild_scope_overclaim","strong_action_overclaim","FP","action_lexicon_shortcut;mild_vs_strong_boundary","0.8365843840251936","0.2685290989115721","0.0222003106027841","0.1922809481620788","0.3870967741935484","17","5","30.8507","0","1","1","0.8365843840251936","1.0680552851136216","d06766a392eb56948d329683ba42661291064dd2eae6f33cfb1b631a13f48063","3493ea0a3250a65980822cb2e6a578c84c63f2e5a82f6ffeef89df5ec450d09b","6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62","autonomous_driving","tier3_no_B_no_A"
"SBV2-ALL92-G002-STRONG","SBV2-ALL92-G002","strong_action_overclaim","strong_action_overclaim","TP","evidence_format_noise;weak_selector_overlap;contradiction_confusion;action_lexicon_shortcut;uncertainty_high_entropy","0.5909928660010632","0.3391331482420781","0.0806296095252037","0.6597850322723389","0.2622950819672131","60","2","39.9191","0","1","1","0.5909928660010632","0.7518597177589851","78b5fdf1b3dc45b072bcbe6924049feee41c8a94ecfc880919ca2890f6a0a860","d8c074b4198c2c78dfb63b67b933bc3c7ec83616f13f8580a0b757506b6d2913","6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62","autonomous_driving","tier3_no_B_no_A"
"SBV2-ALL92-G002-SUPPORTED","SBV2-ALL92-G002","supported","supported","TN","evidence_format_noise;action_lexicon_shortcut","0.2295589746246177","0.0524572883344019","0.0143663017079234","0.3420493006706238","0.3225806451612903","69","2","46.1362","0","1","0","0.2295589746246177","0.1771016862902157","ee06835cd5329c2cc4a970e3aa92c9d6f2d89b3d934daab7d9ce2da2c106c3d6","8a3fa4b65730b9f65ba0a9dd25ce2be956a9983ee1d45019cbe5ec6b87de62e0","6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62","autonomous_driving","tier3_no_B_no_A"
"SBV2-ALL92-G003-CONTRA","SBV2-ALL92-G003","contradiction_candidate","contradiction_candidate","TN","","0.2818358467978977","0.9288887448074616","0.9952595829963684","0.032649029046297","0.5238095238095238","29","2","41.5261","0","1","0","0.2818358467978977","-0.647052898009564","c294758363869b51e41caf305d46b065a517c729767bb2dead9b50bb6336c0c0","5efd546f40fba131cb6c62d5037fe0c43bd97cf4635c486cb5088c84815aa334","05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6","autonomous_driving","tier4_no_B_has_A"
"SBV2-ALL92-G003-MILD","SBV2-ALL92-G003","mild_scope_overclaim","mild_scope_overclaim","TN","","0.4193236465624852","0.2542476850805769","0.0012470333604142","0.1436844617128372","0.3902439024390244","34","4","48.7726","0","1","0","0.4193236465624852","0.1650759614819082","b7576762a88900d21ec0751444f308d6945215d928439ee014b3e680560c6297","2e7e0f9850592dd3879e15ba3e47e80d128a9e3e5033c2bdf89981a3f15e678d","05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6","autonomous_driving","tier4_no_B_has_A"
"SBV2-ALL92-G003-STRONG","SBV2-ALL92-G003","strong_action_overclaim","strong_action_overclaim","TP","","0.5152049729776469","0.2784160445302716","0.0225166138261556","0.3863176703453064","0.3265306122448979","39","1","54.3138","1","1","1","0.5152049729776469","0.7367889284473753","a0c3dd2c3a177eaaac40855fb854dbe54f7ed09a3d61364b6aa3644acc4e562b","faf98b9384912eb49b8c2f5876c4c9ed79eb08efb4325092c052bb0d6097be85","05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6","autonomous_driving","tier4_no_B_has_A"
"SBV2-ALL92-G003-SUPPORTED","SBV2-ALL92-G003","supported","strong_action_overclaim","FP","supported_overflag;uncertainty_high_entropy","0.5405713466772789","0.2168989179216121","0.0135110104456543","0.5440426468849182","0.4","34","4","48.7726","0","1","1","0.5405713466772789","0.8236724287556668","b7576762a88900d21ec0751444f308d6945215d928439ee014b3e680560c6297","e27bff5a2678ec21ff419f1efdc826dd9b7784dd387f3ff29339a914d0bab5cf","05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6","autonomous_driving","tier4_no_B_has_A"
"SBV2-ALL92-G004-CONTRA","SBV2-ALL92-G004","contradiction_candidate","contradiction_candidate","TN","","0.3622682583095342","0.9315992867001444","0.9801076650619508","0.1102374717593193","0.3","40","1","36.0196","0","1","0","0.3622682583095342","-0.5693310283906101","1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e","3df8fe5b7461e57c43a90973cda29a6ed96b3c0c335d6d2323df4b57452fb5dc","1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e","autonomous_driving","tier2_B_has_A"
"SBV2-ALL92-G004-MILD","SBV2-ALL92-G004","mild_scope_overclaim","supported","TN","uncertainty_high_entropy","0.4058238887698769","0.1917375712046589","0.0091790426522493","0.5720406770706177","0.5365853658536586","40","2","87.3716","0","1","0","0.4058238887698769","0.214086317565218","1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e","0a83673c1ba3ad6b568f04fb4ef0c1b836995fe8305cc95702f61c1402617954","1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e","autonomous_driving","tier2_B_has_A"
