seed,split,candidate_id,source_pair_id,label
11,train,SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,supported
11,train,SBV2-ALL92-G002-MILD,SBV2-ALL92-G002,mild_scope_overclaim
11,train,SBV2-ALL92-G002-STRONG,SBV2-ALL92-G002,strong_action_overclaim
11,train,SBV2-ALL92-G002-CONTRA,SBV2-ALL92-G002,contradiction_candidate
11,dev,SBV2-ALL92-G003-SUPPORTED,SBV2-ALL92-G003,supported
11,dev,SBV2-ALL92-G003-MILD,SBV2-ALL92-G003,mild_scope_overclaim
11,dev,SBV2-ALL92-G003-STRONG,SBV2-ALL92-G003,strong_action_overclaim
11,dev,SBV2-ALL92-G003-CONTRA,SBV2-ALL92-G003,contradiction_candidate
11,train,SBV2-ALL92-G004-SUPPORTED,SBV2-ALL92-G004,supported
11,train,SBV2-ALL92-G004-MILD,SBV2-ALL92-G004,mild_scope_overclaim
11,train,SBV2-ALL92-G004-STRONG,SBV2-ALL92-G004,strong_action_overclaim
11,train,SBV2-ALL92-G004-CONTRA,SBV2-ALL92-G004,contradiction_candidate
11,train,SBV2-ALL92-G007-SUPPORTED,SBV2-ALL92-G007,supported
11,train,SBV2-ALL92-G007-MILD,SBV2-ALL92-G007,mild_scope_overclaim
11,train,SBV2-ALL92-G007-STRONG,SBV2-ALL92-G007,strong_action_overclaim
11,train,SBV2-ALL92-G007-CONTRA,SBV2-ALL92-G007,contradiction_candidate
11,dev,SBV2-ALL92-G008-SUPPORTED,SBV2-ALL92-G008,supported
11,dev,SBV2-ALL92-G008-MILD,SBV2-ALL92-G008,mild_scope_overclaim
11,dev,SBV2-ALL92-G008-STRONG,SBV2-ALL92-G008,strong_action_overclaim
11,dev,SBV2-ALL92-G008-CONTRA,SBV2-ALL92-G008,contradiction_candidate
11,train,SBV2-ALL92-G011-SUPPORTED,SBV2-ALL92-G011,supported
11,train,SBV2-ALL92-G011-MILD,SBV2-ALL92-G011,mild_scope_overclaim
11,train,SBV2-ALL92-G011-STRONG,SBV2-ALL92-G011,strong_action_overclaim
11,train,SBV2-ALL92-G011-CONTRA,SBV2-ALL92-G011,contradiction_candidate
11,train,SBV2-ALL92-G013-C01,SBV2-ALL92-G013,supported
11,train,SBV2-ALL92-G013-C02,SBV2-ALL92-G013,mild_scope_overclaim
11,train,SBV2-ALL92-G013-C03,SBV2-ALL92-G013,strong_action_overclaim
11,train,SBV2-ALL92-G013-C04,SBV2-ALL92-G013,contradiction_candidate
11,train,SBV2-ALL92-G014-C01,SBV2-ALL92-G014,supported
11,train,SBV2-ALL92-G014-C02,SBV2-ALL92-G014,mild_scope_overclaim
11,train,SBV2-ALL92-G014-C03,SBV2-ALL92-G014,strong_action_overclaim
11,train,SBV2-ALL92-G014-C04,SBV2-ALL92-G014,contradiction_candidate
11,train,SBV2-ALL92-G018-C01,SBV2-ALL92-G018,supported
11,train,SBV2-ALL92-G018-C02,SBV2-ALL92-G018,mild_scope_overclaim
11,train,SBV2-ALL92-G018-C03,SBV2-ALL92-G018,strong_action_overclaim
11,train,SBV2-ALL92-G018-C04,SBV2-ALL92-G018,contradiction_candidate
11,train,SBV2-ALL92-G019-C01,SBV2-ALL92-G019,supported
11,train,SBV2-ALL92-G019-C02,SBV2-ALL92-G019,mild_scope_overclaim
11,train,SBV2-ALL92-G019-C03,SBV2-ALL92-G019,strong_action_overclaim
11,train,SBV2-ALL92-G019-C04,SBV2-ALL92-G019,contradiction_candidate
11,train,SBV2-ALL92-G020-C01,SBV2-ALL92-G020,supported
11,train,SBV2-ALL92-G020-C02,SBV2-ALL92-G020,mild_scope_overclaim
11,train,SBV2-ALL92-G020-C03,SBV2-ALL92-G020,strong_action_overclaim
11,train,SBV2-ALL92-G020-C04,SBV2-ALL92-G020,contradiction_candidate
11,train,SBV2-ALL92-G021-C01,SBV2-ALL92-G021,supported
11,train,SBV2-ALL92-G021-C02,SBV2-ALL92-G021,mild_scope_overclaim
11,train,SBV2-ALL92-G021-C03,SBV2-ALL92-G021,strong_action_overclaim
11,train,SBV2-ALL92-G021-C04,SBV2-ALL92-G021,contradiction_candidate
11,dev,SBV2-ALL92-G025-C01,SBV2-ALL92-G025,supported
11,dev,SBV2-ALL92-G025-C02,SBV2-ALL92-G025,mild_scope_overclaim
11,dev,SBV2-ALL92-G025-C03,SBV2-ALL92-G025,strong_action_overclaim
11,dev,SBV2-ALL92-G025-C04,SBV2-ALL92-G025,contradiction_candidate
11,test,SBV2-ALL92-G027-C01,SBV2-ALL92-G027,supported
11,test,SBV2-ALL92-G027-C02,SBV2-ALL92-G027,mild_scope_overclaim
11,test,SBV2-ALL92-G027-C03,SBV2-ALL92-G027,strong_action_overclaim
11,test,SBV2-ALL92-G027-C04,SBV2-ALL92-G027,contradiction_candidate
11,train,SBV2-ALL92-G028-C01,SBV2-ALL92-G028,supported
11,train,SBV2-ALL92-G028-C02,SBV2-ALL92-G028,mild_scope_overclaim
11,train,SBV2-ALL92-G028-C03,SBV2-ALL92-G028,strong_action_overclaim
