sample_id,candidate_id,label_4_silver,domain,parse_status,llm_label,llm_confidence,llm_rationale,llm_evidence_used,llm_uncertain,warnings,model,latency,input_tokens_est,output_tokens_est,cost_estimate,llm_label_idx,silver_idx,r4_label,r4_label_idx,llm_correct,r4_correct,llm_vs_r4
LLM_001,SBV2-ALL92-G043-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that the authors evaluate three recent end-to-end autonomous driving agents on HABIT's semantically diverse pedestrian behaviors, matching the claim exactly.",True,False,,deepseek-v4-flash,1.44,524,74,0.000162,0,0,supported,0,1,1,both_correct
LLM_002,SBV2-ALL92-G027-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that ScenePilot-Bench remains an open-loop benchmark and does not directly measure downstream control effects in a closed-loop driving system, matching the claim exactly.",True,False,,deepseek-v4-flash,1.54,525,78,0.000164,0,0,strong_action_overclaim,2,1,0,llm_only
LLM_003,SBV2-ALL92-G040-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence explicitly states that five classical E2EAD models are implemented as baseline methods, directly matching the claim.",True,False,,deepseek-v4-flash,2.19,532,66,0.000162,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_004,SBV2-ALL92-G036-C01,supported,autonomous_driving,ok,supported,0.95,"The evidence explicitly states that the lack of an official training set causes comparisons to be at the system level, and Bench2Drive addresses this by providing an official training dataset, directly supporting the claim.",True,False,,deepseek-v4-flash,1.84,549,82,0.000171,0,0,supported,0,1,1,both_correct
LLM_005,SBV2-ALL92-G030-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that ensuring safety under open-world conditions remains a significant barrier to large-scale deployment, which matches the claim's wording and meaning.",True,False,,deepseek-v4-flash,1.63,509,72,0.000158,0,0,supported,0,1,1,both_correct
LLM_006,SBV2-ALL92-G052-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states the same training setup with 8 NVIDIA A6000 GPUs, 64 CPUs, and 43 hours.",True,False,,deepseek-v4-flash,1.7,526,70,0.000162,0,0,supported,0,1,1,both_correct
LLM_007,SBV2-ALL92-G034-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states the same actions and conclusions as the claim, with no material overstatement or conflict.",True,False,,deepseek-v4-flash,1.61,522,64,0.000159,0,0,supported,0,1,1,both_correct
LLM_008,SBV2-ALL92-G025-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that representative commercial, open-source, and driving-specialized VLMs are evaluated on ScenePilot-Bench, matching the claim exactly.",True,False,,deepseek-v4-flash,1.5,530,75,0.000164,0,0,mild_scope_overclaim,1,1,0,llm_only
LLM_009,SBV2-ALL92-G018-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that overall performance of all ADVLMs remains relatively low, indicating notable limitations, which matches the claim exactly.",True,False,,deepseek-v4-flash,1.71,515,69,0.000158,0,0,strong_action_overclaim,2,1,0,llm_only
LLM_010,SBV2-ALL92-G031-C01,supported,autonomous_driving,ok,supported,1.0,"The evidence directly states that models are trained on the training split and evaluated using scene description and meta-action metrics on the test split, matching the claim exactly.",True,False,,deepseek-v4-flash,2.17,515,74,0.00016,0,0,supported,0,1,1,both_correct
